char,mean_log_rt,acc_rate,strokes,log_freq,sem_component,sem_log_freq,phon_component,phon_log_freq
邻,6.502851077565505,0.9655172413793104,7,0.5033548084935295,阝,4.109007176891624,令,3.0971064086746147
郁,6.64807532466625,0.9310344827586207,9,0.13455957742262487,阝,4.109007176891624,有,1.9901416456529324
郊,6.57470539290207,1,9,0.0683714180326432,阝,4.109007176891624,交,2.8309085303156833
郎,6.516223533835537,1,9,0.7552954099802578,阝,4.109007176891624,良,3.0219413419383674
郑,6.494223707290146,0.9655172413793104,8,0.5892344924155041,阝,4.109007176891624,NA,NA
郝,6.812689998995869,0.7241379310344828,10,0.3381974334062819,阝,4.109007176891624,NA,NA
郡,6.659901929677053,0.9310344827586207,10,0.886564041428618,阝,4.109007176891624,君,2.350874772404737
部,6.484756176620111,0.7931034482758621,11,2.283621402834249,阝,4.109007176891624,咅,3.0434593054690837
郭,6.448699779550057,1,11,1.0890215007950061,阝,4.109007176891624,享,1.867823852005781
都,6.471404565509928,1,11,3.76626943932979,阝,4.109007176891624,者,3.674536143019684
鄂,6.618364648008758,0.9655172413793104,12,0.06561705572687246,阝,4.109007176891624,咢,1.1018982260986547
鄙,6.5769984238443095,0.9310344827586207,14,0.045792232729559144,阝,4.109007176891624,啚,1.390935107103379
酌,6.526976669275424,0.9655172413793104,10,0.0924399113311414,酉,3.2454340682062797,勺,4.514732763867866
配,6.4364992868644935,0.9310344827586207,10,1.769091395296932,酉,3.2454340682062797,己,3.6698930775622762
酒,6.398478755136475,0.9310344827586207,10,2.403771474805413,酉,3.2454340682062797,酉,2.7482665031326223
酗,6.65564435418009,0.9655172413793104,11,0.012710712741786966,酉,3.2454340682062797,凶,0.9977401422221354
酣,6.683208985680522,0.9310344827586207,12,0.009535876619218136,酉,3.2454340682062797,甘,1.010486527469298
酥,6.5135339743526295,1,12,0.27975817280247295,酉,3.2454340682062797,NA,NA
酩,6.878724633190746,0.4827586206896552,13,0.16423385469261065,酉,3.2454340682062797,名,1.8182912308777777
酬,6.786999719642739,0.6896551724137931,13,0.13691072748137587,酉,3.2454340682062797,州,1.9393464988495128
