char,rt_ms,correct
万,515.425000001414,1
万,506,1
万,856.570000003558,1
万,434.689999998227,1
万,451.325000001816,1
万,526.610000000801,1
万,501.435000000056,1
万,526,1
万,521.5,1
万,405,1
万,573.699999999953,1
万,441.810000004247,1
万,551.970000000438,1
万,487.60000000149,1
万,567.609999998007,1
万,560.59999999404,1
万,633.074999997974,1
万,590.124999998836,1
万,691.125000004657,1
万,668.375000000931,1
万,446.114999998827,1
万,418.069999999716,1
万,658.845000000205,1
万,606.290000003297,1
丈,534.104999998817,1
丈,973.10000000149,1
丈,1107.45999999926,1
丈,628.645000004442,1
丈,530.409999999218,1
丈,754.244999996387,1
丈,523.180000003777,1
丈,478.649999997346,1
丈,532.344999999739,1
丈,545.324999999255,1
丈,617.890000001294,1
丈,446.5,1
丈,523.589999999851,1
丈,545.949999999721,1
丈,558.89000000013,1
丈,646.404999999562,1
丈,576.155000002589,1
丈,542.290000000969,1
丈,474.70500000054,1
丈,709.194999999367,1
丈,617.210000000894,1
丈,470.030000004044,1
丈,529.354999998584,1
丈,499.234999999404,1
丈,640.374999999942,1
丈,1237.80000000074,1
丈,555.594999999739,1
丈,434.779999999562,1
丈,508.660000003409,1
三,588.599999999628,1
三,476.19999999553,1
三,496.959999996936,1
三,551.349999999628,1
三,988.785000001546,1
三,605.649999997579,1
三,583.200000000652,1
三,580.424999999814,1
三,672.525000000023,1
三,567.10999999987,1
三,510.105000000447,1
三,484.4300000004,1
三,590.239999997895,1
三,533.940000001341,1
三,512.085000000428,1
三,474.2900000019,1
三,629.975000003353,1
三,513.735000000452,1
三,514.015000000654,1
三,608.184999997262,1
三,504.339999999385,1
三,531.384999997914,1
三,675.654999999329,1
三,814.860000000335,1
三,536.570000000298,1
三,526.429999999702,1
三,505.359999999171,1
三,583.800000000279,1
三,638.33,1
上,443.59999999404,1
上,505.720000001136,1
上,468.390000001877,1
上,520.919999995502,1
上,660.015000001294,1
上,542.799999999348,1
上,474.249999999302,1
上,442.419999999926,1
上,461.990000000223,1
上,437.04999999865,1
上,671.795000002021,1
上,566.875000004191,1
上,601.299999998882,1
上,556.615000001388,1
上,553.589999996126,1
上,1112.02000000002,1
上,523.300000000745,1
上,511.870000002207,1
上,552.465000000666,1
上,533,1
上,513.85499999905,1
上,520.049999999988,1
上,496.935000000987,1
上,625.860000000102,1
上,442.670000000391,1
上,728.510000000009,1
上,622.339999999909,1
上,519.869999996386,1
上,545.935000001919,1
下,424.21499999892,1
下,566.42000000109,1
下,668.974999999511,1
下,590.589999999851,1
下,810.605,1
下,484.044999997132,1
下,508.314999999246,1
下,461.009999999078,1
下,730.719999999739,1
下,671.664999997709,1
下,540.280000000173,1
下,562.745000002906,1
下,720.800000000745,1
下,486.56,1
下,521.755000001751,1
下,483.694999999367,1
下,538.135000002512,1
下,589.199999999255,1
下,884.589999997872,1
下,639.650000000023,1
下,499.494999999646,1
下,719.530000000261,1
下,575.559999997262,1
下,512.029999998049,1
下,566.199999999255,1
下,563.799999999814,1
下,561.369999999646,1
下,554.900000002701,1
不,486.560000004713,1
不,757.840000002645,1
不,920.924999998882,1
不,607.564999999711,1
不,569.045000000217,1
不,835.394999994431,1
不,520.800000000279,1
不,497.569999999832,1
不,698.319999999483,1
不,509.805000001565,1
不,599.095000001369,1
不,534.679999997024,1
不,459,1
不,419.29999999702,1
不,591.099999997765,1
不,485.865000002552,1
不,537.89999999851,1
不,565.730000002077,1
不,838.929999999935,1
不,771.720000000671,1
不,695.609999999637,1
不,748.015000001062,1
不,751.885000000242,1
不,551.720000001136,1
不,574.990000000922,1
不,534.469999999972,1
不,499.735000001267,1
不,512.20000000298,1
与,713.639999999665,1
与,525.630000000354,1
与,619.624999999302,1
与,584.384999999776,1
与,508.174999998999,1
与,586.099999999628,1
与,550.319999998464,1
与,547.5,1
与,487.5,1
与,476.194999999367,1
与,562.4449999996,1
与,502.759999999544,1
与,447.800000000745,1
与,568.509999997215,1
与,531.855000001146,1
与,601.759999997681,1
与,512.490000000922,1
与,529.909999997471,1
与,523.380000002449,1
与,468.200000000186,1
与,612.5400000019,1
与,519.250000004889,1
与,510.800000003539,1
与,375.5,1
与,415.130000001169,1
与,425.944999999047,1
与,601.400000000372,1
与,537.455000005197,1
丏,634.10000000149,1
丏,741.710000002058,1
丏,783.19000000041,1
丏,633.509999999776,1
