item,frequency,strokes,log10_frequency,mean_rt_ms,median_rt_ms,trials
姻,0.0371,9,-1.4306260903849541,778.8612500001933,688.2575000018695,28
姿,1.5048,9,0.17747878254232244,696.5965517239268,657.709999999497,29
威,3.5582,9,0.551230355342972,734.2734482759823,632.329999996815,29
娃,4.4033,9,0.6437782752633301,628.3893103446968,613.655000000726,29
娄,0.2001,9,-0.6987529113637886,774.4112500002024,715.697499997681,20
娇,8.7843,9,0.9437071593145495,656.0896428564888,632.9174999955576,28
娑,0.0519,10,-1.2848326421515421,867.2390909096197,812.477499999572,22
娘,41.2973,10,1.6159216585950889,603.9060714284153,591.3950000003674,28
娟,0.808,10,-0.09258863922541381,618.6781034485401,614.315000002505,29
娣,0.1334,10,-0.8748441704194698,803.3217307687875,720.6574999962465,26
娥,0.2001,10,-0.6987529113637886,751.1750000004758,687.164999999106,27
娱,10.5189,10,1.0219703264234337,618.2678571426054,590.7600000009405,28
娴,0.0667,10,-1.175874166083451,657.626607142414,625.090000001248,28
娶,81.8013,11,1.9127602056070225,693.6232142858227,637.940000000759,28
婆,3.5656,11,0.5521326210781199,735.0053999993111,683.705000003101,25
婉,0.0964,11,-1.0159229660971691,802.8118518524354,735.199999999255,27
婊,0.1483,11,-0.828858848971618,703.757407407561,688.275000000605,27
婚,21.8162,11,1.3387791063462173,632.3512500000404,598.797500000568,28
婴,2.2906,11,0.3599492563828659,648.2280357141509,577.2800000000279,28
婶,0.215,11,-0.6675615400843947,645.200517241578,647.949999998557,29
媒,4.0104,12,0.6031876916049973,651.7868965511492,635.924999995157,29
媚,2.2609,12,0.3542813538497285,650.5741071422367,657.317499998433,28
媳,0.0297,13,-1.5272435506827877,670.8612000005163,688.415000000503,25
嫁,54.2698,13,1.7345582210809238,664.1525000006504,619.7575000006475,28
嫂,0.2817,13,-0.5502131530142267,645.6693103449821,619.430000006221,29
嫌,19.4811,13,1.2896134756659285,709.9903703706824,651.965000000782,27
嫖,0.3855,14,-0.4139756176130242,744.8494642852431,678.027499999255,28
嫩,2.5278,14,0.4027427095104914,728.3176923078096,688.5149999981516,26
嬉,0.8006,15,-0.0965844142309137,697.4134615384677,650.637499999022,26
嬴,0.1334,16,-0.8748441704194698,976.9081249996714,787.0050000009945,16
嬷,0.0297,17,-1.5272435506827877,928.29625000006,818.4525000001305,24
子,68.0875,3,1.8330673882811885,632.0913793102343,561.89999999851,29
孔,7.576,4,0.879439965995217,591.5820689659996,574.74000000002,29
孕,2.3647,5,0.37377605137032033,807.844600000242,702.175000000279,25
孖,0.0593,6,-1.2269453066357374,829.449999997933,820.869999995921,5
字,188.1542,6,2.274513917136168,553.4398214290144,546.34749999948,28
存,30.4299,6,1.4833005251639657,626.6951724141676,588.690000004135,29
孙,7.4426,6,0.8717246786101868,596.3200000006693,562.079999996349,29
孚,0.2224,7,-0.6528652170899801,740.1613043476876,625.030000001192,23
孛,0.4225,7,-0.37417328671428884,904.0666666664482,948.274999999762,6
孝,4.5219,7,0.6553209538677223,622.9783928570914,592.9875000038885,28
孟,0.4448,8,-0.351835221425999,620.0517857148078,603.5225000008941,28
季,128.9474,8,2.1104125897695227,640.1662068963384,560.5,29
孤,8.2654,8,0.9172638758855909,658.6928571429517,640.404999999213,28
学,141.0823,8,2.149472531156823,570.171964285334,579.8200000012295,28
孩,3.1875,9,0.5034501934420116,713.7083333333197,662.155000005383,27
孪,0.0148,9,-1.8297382846050425,785.3365384613381,750.1649999992226,26
孬,0.126,10,-0.8996294548824371,971.0353846155615,927.487500000512,26
孰,15.7746,11,1.1979583555551423,795.7169642852721,709.190000001225,28
孵,0.3113,14,-0.5068208793174847,804.8263043482539,764.134999997448,23
孽,0.5856,20,-0.23239893194966454,1141.60363636291,962.045000000391,11
宁,7.1831,5,0.8563119125346335,581.2293103450813,542.859999994107,29
它,769.2809,5,2.8860849497423366,605.2680357140885,547.03249999939,28
宅,8.8955,6,0.9491703640150096,622.3642857146052,587.7849999996835,28
宇,1.4974,6,0.17533782879202017,627.4999999995741,597.3399999997346,28
守,29.7702,6,1.4737817523022376,565.120862069335,544.200000000186,29
安,34.2698,6,1.5349115698763263,570.7899999999771,534.075000000477,29
宋,9.2365,7,0.9655074345703253,572.5029629628285,569.784999999683,27
完,375.493,7,2.5746018452291093,603.3362499994511,524.0774999993155,28
宏,0.593,7,-0.22694530663573742,625.1413793099265,619,29
宕,0.0445,8,-1.3516399890190685,822.4976086957686,779.45000000007,23
宗,5.8265,8,0.7654077507900111,586.0917241378219,583.295000004116,29
官,19.2809,8,1.2851273021763094,608.7948214280083,568.387499999488,28
宙,0.0815,8,-1.0888423912600234,653.2857407403027,629.004999999888,27
定,106.0193,8,2.0253849324395405,634.4958620690047,590.299999999814,29
宛,0.6672,8,-0.1757439623703177,658.8899999998436,650.2925000008399,28
宜,28.4507,8,1.4540929562283633,584.5236206898509,551.900000000372,29
宝,59.6738,8,1.7757836943965422,623.4468965517644,594.670000000391,29
实,8.4952,8,0.9291736077929309,598.3877777776194,589.679999997316,27
宠,1.4678,8,0.16666688336360985,689.6872500000467,639.570000002743,20
审,4.6256,8,0.6651680743265826,584.8175925916444,574.69999999553,27
客,26.5975,9,1.4248408175622929,562.2312499997334,569.5324999999625,28
宣,1.4233,9,0.15329644935530526,596.90827586219,595.799999999814,29
室,24.7072,9,1.3928235307743535,609.1169642854397,578.410000001197,28
宪,0.4596,9,-0.3376199799837524,821.890185185169,752.694999995583,27
宫,11.9422,9,1.0770843401809687,583.8267857143852,580.4825000013225,28
宰,5.4188,10,0.7339031221326568,708.8978260871426,673.604999999981,23
害,46.1601,10,1.6642667409925873,579.9884482763599,567.060000000318,29
宴,0.7858,10,-0.10468797552421266,722.3964285712252,686.582500000717,28
宵,0.7339,10,-0.13436311230037135,716.8921153843492,637.3899999998396,26
家,1359.5552,10,3.133396845295143,691.3600000003644,607.2800000010755,28
容,18.1542,10,1.2589771156427079,634.8400000000838,585.005000000005,29
宽,13.7583,10,1.138564775016482,760.3551851844509,649.964999997057,27
宾,4.47,10,0.6503075231319364,673.1144827587684,618.010000000126,29
宿,5.0408,11,0.7024994666070704,671.143392857135,614.1475000001955,28
寂,0.4151,11,-0.38184726662148055,810.5183333328615,699.884999997914,27
寄,24.4107,11,1.3875802334023775,672.6229310338405,642.179999995045,29
寅,0.0371,11,-1.4306260903849541,750.8210714281817,712.9649999986871,28
密,9.1994,11,0.9637595028687534,686.1699999998234,627.492499999702,24
寇,1.8087,11,0.257366538585015,712.8074074069594,678.469999999041,27
富,28.3024,12,1.4518232645900964,661.4282000005106,606.829999997048,25
寐,0.0964,12,-1.0159229660971691,843.7598214284485,695.5450000004495,28
寒,18.3024,12,1.2625080426492579,628.249107143218,637.4599999996715,28
寓,0.0593,12,-1.2269453066357374,682.2097999995249,673.904999996012,25
寝,0.215,13,-0.6675615400843947,774.6617241378007,709.339999999851,29
寞,0.0371,14,-1.4306260903849541,870.7115624992292,890.7475000001725,16
察,1.2528,14,0.09788174471386815,712.1031034478277,680.299999999814,29
寡,0.4596,14,-0.3376199799837524,949.3113636355675,859.5750000008845,22
寥,0.0148,14,-1.8297382846050425,853.8874074079722,741.804999997839,27
寨,0.1112,14,-0.9538952127539614,828.2747619049426,821.714999998454,21
寰,0.0964,16,-1.0159229660971691,897.123999999817,897.489999996033,15
寸,21.7494,3,1.3374472805879725,560.5448214284842,524.167500001611,28
对,2361.5419,5,3.373195655513972,575.46875000066,550.2025000001305,28
寺,6.5901,6,0.81889200474859,596.5177586212691,573.609999999637,29
寻,193.9437,6,2.287675676693621,579.879107143389,556.574999999895,28
导,2.6093,6,0.4165240142686528,665.4112068962608,592.894999997923,29
寿,2.5352,7,0.40401222618224414,581.2456896554659,569.315000000875,29
封,55.2113,9,1.7420279731169472,570.7958620683078,553.634999996517,29
射,106.9014,10,2.028983392844824,586.2389285711189,584.202499998297,28
将,975.6931,9,2.9893132337154604,569.8172413796519,557.074999996985,29
尊,7.5612,12,0.8785907256627516,641.4532758626094,616.885000003269,29
小,1927.6279,3,3.285023203543446,542.6150000004445,523.474999999977,27
少,295.834,4,2.4710480856981567,560.6342857133517,549.0824999996695,28
尔,25.0037,5,1.3980042794994354,603.4574999995252,561.554999998305,28
尕,0.1334,5,-0.8748441704194698,1049.7687499999802,881.007500000298,8
尖,7.8132,6,0.8928289413945214,584.833750000007,568.5474999995785,28
尘,1.9348,6,0.2866360787164176,592.5927586208574,574.814999999944,29
尚,31.5715,8,1.4992952162364435,549.8272222224494,546.240000003017,27
尝,11.8532,9,1.0738356123487665,586.321551723735,559.889999998501,29
尤,2.8391,4,0.4531806897020939,684.5651785711909,652.1124999999299,28
尧,0.0815,6,-1.0888423912600234,702.5148148145894,645.020000003278,27
就,7458.0059,12,3.872622722594131,633.4667241377897,600.835000004619,29
尴,0.0371,13,-1.4306260903849541,896.5825000003564,746.4625000027011,20
尸,11.0082,3,1.041716311344501,575.0786206895588,546.674999997718,29
尹,1.4529,4,0.16223572376620182,549.8561111104297,540.720000000671,27
尺,9.3254,4,0.9696674693350971,555.1098275863162,514.689999999944,29
尻,0.2372,5,-0.624885315307775,840.4637499995304,810.8174999993059,8
尼,30.2298,5,1.4804352739001556,631.2644827587867,565.165000000037,29
尽,98.2135,6,1.9921711881182906,585.6487931033223,522.960000000196,29
