log10_frequency,strokes,subject,frequency,fit_ms,lower_ms,upper_ms
-0.3922619554712361,9,AA,0.4052640166847682,707.2970180873625,683.9712672466062,731.418256514133
-0.3595920389000131,9,AA,0.4369260726518452,705.6185351496148,682.3478863912919,729.6828012172798
-0.32692212232879037,9,AA,0.47106178960728967,703.9332493640553,680.718132509623,727.9400913464461
-0.2942522057575674,9,AA,0.5078644272273447,702.2411683463235,679.0820241526167,726.190122814355
-0.2615822891863444,9,AA,0.5475423439841819,700.5423565765074,677.439628243662,724.4329574136598
-0.22891237261512165,9,AA,0.5903201767693129,698.8369405948176,675.7910649144787,722.6687283912643
-0.19624245604389867,9,AA,0.636440112677423,697.1251142540735,674.1365125273772,720.8976459408417
-0.16357253947267592,9,AA,0.6861632601508378,695.407144027468,672.4762128985833,719.1200025946054
-0.13090262290145294,9,AA,0.7397711272473799,693.6833742992437,670.810476668478,717.3361784225642
-0.09823270633023018,9,AA,0.7975672154008298,691.9542325743437,669.1396887696225,715.5466459595924
-0.0655627897590072,9,AA,0.8598787376970947,690.2202345895417,667.4643139836061,713.7519748337335
-0.032892873187784444,9,AA,0.9270584713941081,688.481987835661,665.7849011719271,711.9528345262656
-2.2295661656146493e-4,9,AA,0.9994867551735308,686.7401869493945,664.1020799301087,710.1499884188325
0.03244695995466129,9,AA,1.0775736424317,684.9956130019431,662.4165610460715,708.3442918319085
0.06511687652588427,9,AA,1.1617612228007168,683.2491429831073,660.7291467983478,706.5367006272319
0.09778679309710703,9,AA,1.25252612504297,681.5017561596856,659.0407384338225,704.728276361891
0.13045670966833,9,AA,1.3503822154892728,679.7545423007186,657.352345561067,702.9201932550711
0.16312662623955276,9,AA,1.455883507297827,678.0086987628217,655.6650849617116,701.1137334312978
0.19579654281077552,9,AA,1.5696272970048304,676.2655255685123,653.9801774350261,699.3102801160866
0.22846645938199872,9,AA,1.6922575461243223,674.5264256754913,652.298949534196,697.5113163365626
0.2611363759532215,9,AA,1.8244685269422256,672.7929010838631,650.62283118739,695.7184194147501
0.29380629252444423,9,AA,1.9670087531453035,671.0665420509761,648.9533464608389,693.9332485396616
0.32647620909566744,9,AA,2.120685217538295,669.3490280905604,647.2921153931235,692.1575448724175
0.3591461256668902,9,AA,2.286367960841109,667.642116839818,645.6408438623919,690.3931193568615
0.39181604223811295,9,AA,2.464994997432397,665.947625388044,644.0013057518972,688.641833174836
0.4244859588093357,9,AA,2.657577625926594,664.2674269377724,642.3753394835566,686.905594547382
